Game,As of,Genre(s),Developer(s),Publisher(s),Copies_sold,Release_date,Metacritic_url,Critic_score,User_score,Number_of_critic_reviews,Number_of_user_reviews,Description,Price,Image
Mario Kart 8 Deluxe,"September 30, 2023",Kart racing,Nintendo EPD,Nintendo,57.01 million,04/28/2017,https://www.metacritic.com/game/mario-kart-8-deluxe,92.0,8.6,99.0,2994.0,"Race and battle your friends in the definitive version of Mario Kart 8. Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every tra... ",46.60210000000001,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/MarioKart8Boxart.jpg/220px-MarioKart8Boxart.jpg
Animal Crossing: New Horizons,"September 30, 2023",Social simulation,Nintendo EPD,Nintendo,43.38 million,03/20/2020,https://www.metacritic.com/game/animal-crossing-new-horizons,90.0,5.7,122.0,6736.0,"If the hustle and bustle of modern life’s got you down, Tom Nook has a new business venture up his sleeve that he knows you’ll adore: the Nook Inc. Deserted Island Getaway Package. Sure, you’ve crossed paths with colorful characters near and far. Had a grand time as one of the city folk. May’ve even turned over a new leaf and dedicated y... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Animal_Crossing_New_Horizons.jpg/220px-Animal_Crossing_New_Horizons.jpg
Super Smash Bros. Ultimate,"September 30, 2023",Fighting,Bandai Namco StudiosSora Ltd.,Nintendo,32.44 million,12/07/2018,https://www.metacritic.com/game/super-smash-bros-ultimate,93.0,8.6,110.0,4090.0,"Inklings from the Splatoon series, as well as returning Smash characters like Mario and Link will be making appearances in this classic Nintendo franchise's Switch debut. Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go. ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Super_Smash_Bros._Ultimate.jpg/220px-Super_Smash_Bros._Ultimate.jpg
The Legend of Zelda: Breath of the Wild,"September 30, 2023",Action-adventure,Nintendo EPD,Nintendo,31.15 million,03/03/2017,https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild,97.0,8.7,117.0,22030.0,"Ignore everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this stunning open-air adventure. Explore the wild... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/The_Legend_of_Zelda_Breath_of_the_Wild.jpg/220px-The_Legend_of_Zelda_Breath_of_the_Wild.jpg
Super Mario Odyssey,"September 30, 2023",Platformer,Nintendo EPD,Nintendo,26.95 million,10/27/2017,https://www.metacritic.com/game/super-mario-odyssey,97.0,8.9,123.0,8229.0,"New Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship, and perform all-new actions, such as throwing Mario's ca... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Super_Mario_Odyssey.jpg/220px-Super_Mario_Odyssey.jpg
Pokémon Sword and Shield,"September 30, 2023",Role-playing,Game Freak,The Pokémon Company and Nintendo,26.02 million,11/15/2019,https://www.metacritic.com/game/pokemon-sword-and-shield,N/A,N/A,N/A,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Pok%C3%A9mon_Sword_and_Shield.jpg/220px-Pok%C3%A9mon_Sword_and_Shield.jpg
Pokémon Scarlet and Violet,"September 30, 2023",Role-playing,Game Freak,The Pokémon Company and Nintendo,23.23 million,11/18/2022,https://www.metacritic.com/game/pokemon-scarlet-and-violet,N/A,N/A,N/A,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Pok%C3%A9mon_Scarlet_and_Violet_banner.png/220px-Pok%C3%A9mon_Scarlet_and_Violet_banner.png
Super Mario Party,"September 30, 2023",Party,NDcube,Nintendo,19.66 million,10/05/2018,https://www.metacritic.com/game/super-mario-party,76.0,7.0,89.0,688.0,"The party comes to Nintendo Switch in this complete refresh of the Mario Party series. The Mario Party series is coming to the Nintendo Switch system with super-charged fun for everyone. The original board game style has been kicked up a notch with deeper strategic elements, like specifc Dice Blocks for each character. The game also intr... ",44.2321,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Super_Mario_Party.jpg/220px-Super_Mario_Party.jpg
The Legend of Zelda: Tears of the Kingdom,"September 30, 2023",Action-adventure,Nintendo EPD,Nintendo,19.5 million,05/12/2023,https://www.metacritic.com/game/the-legend-of-zelda-tears-of-the-kingdom,96.0,8.4,154.0,11641.0,"An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda™: Tears of the Kingdom for Nintendo Switch™. The adventure is yours to create in a world fueled by your imagination. In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the ... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/The_Legend_of_Zelda_Tears_of_the_Kingdom_cover.jpg/220px-The_Legend_of_Zelda_Tears_of_the_Kingdom_cover.jpg
New Super Mario Bros. U Deluxe,"September 30, 2023",Platformer,Nintendo EPD,Nintendo,16.7 million,01/11/2019,https://www.metacritic.com/game/new-super-mario-bros-u-deluxe,80.0,7.1,76.0,430.0,"Join Mario, Luigi, and pals for single-player or multiplayer fun anytime, anywhere. Take on two family-friendly, side-scrolling adventures with up to three friends* as you try to save the Mushroom Kingdom. Includes the New Super Mario Bros. U and harder, faster New Super Luigi U games—both of which include Nabbit and Toadette as playable... ",43.4421,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/New_Super_Mario_Bros._U_box_art.png/220px-New_Super_Mario_Bros._U_box_art.png
